id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7093184,Easy to downtown/Longwood Free Parking Clean House,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,34,150,7,2017-05-01,0.08,31,365,0,
7161203,Cozy Rm Off-Street Parking EZ 2 downtown/Longwood,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,34,150,6,2017-06-21,0.07,31,365,0,
7222349,M&R - Front Bedroom Bathroom Parking - Walk to T!,7988017,Minter,,Dorchester,42.29325,-71.05707,Private room,110,29,152,2022-11-07,1.74,2,365,18,STR-397983
7239024,M&R Quiet Back Room Parking Bathroom,7988017,Minter,,Dorchester,42.29348,-71.05569,Private room,95,29,237,2022-09-02,2.61,2,360,24,STR-397983
7279874,One Bedroom right by Fenway Park,2800145,Pragya,,Fenway,42.34687,-71.09051,Entire home/apt,135,91,15,2018-06-24,0.17,1,0,0,
7281884,Charming urban studio,25742899,Tyree,,Roxbury,42.31236,-71.08133,Entire home/apt,73,91,110,2017-08-22,1.22,1,0,0,
7287822,Light and airy separate apt in funky Jamaica Plain,17844905,Susie,,Jamaica Plain,42.31572,-71.10847,Entire home/apt,119,2,269,2022-11-16,3.01,2,52,27,STR-398657
7298966,"Quiet, sunny studio, directly on the T",31289781,Dustin,,Brighton,42.343,-71.14416,Entire home/apt,60,45,8,2022-08-22,0.11,1,106,1,
7308623,Beautiful Apartment in Beacon Hill,36811327,Carolyn,,West End,42.36207,-71.06885,Private room,60,91,1,2016-04-18,0.01,1,0,0,
7310887,Spacious and Sunny Brookline Apartment,38302832,Jacklyn,,Brighton,42.34532,-71.13829,Entire home/apt,340,3,214,2022-12-09,2.38,1,114,30,STR-384350
